WellId;Well_ColId;Well_RowId;S;T;Z;C;area;centroid-0;centroid-1;max_intensity;mean_intensity;min_intensity;bbox-0;bbox-1;bbox-2;bbox-3
B4;4;2;0;0;0;0;142;83.49295774647888;350.53521126760563;77;63.098591549295776;38;78;344;91;358
B4;4;2;0;0;0;0;90;90.11111111111111;592.9444444444445;102;77.88888888888889;45;85;588;96;598
B4;4;2;0;0;0;0;197;94.04060913705584;164.32994923857868;117;92.6243654822335;55;85;157;104;172
B4;4;2;0;0;0;0;145;95.57241379310345;27.951724137931034;81;64.46896551724137;48;89;22;105;36
B4;4;2;0;0;0;0;169;96.76923076923077;492.55029585798815;79;57.55621301775148;38;90;484;104;502
B4;4;2;0;0;0;0;149;100.57718120805369;284.4026845637584;129;96.46979865771812;47;95;277;107;295
B4;4;2;0;0;0;0;250;99.312;379.524;86;67.82;43;93;368;106;393
B4;4;2;0;0;0;0;179;104.25139664804469;313.6480446927374;92;68.54748603351955;38;96;308;115;321
B4;4;2;0;0;0;0;138;104.07971014492753;18.985507246376812;81;61.19565217391305;41;96;13;112;28
B4;4;2;0;0;0;0;183;107.34972677595628;216.9016393442623;107;89.76502732240438;56;101;208;114;227
B4;4;2;0;0;0;0;172;105.91279069767442;532.8372093023256;77;58.69767441860465;37;98;523;113;543
B4;4;2;0;0;0;0;147;116.19047619047619;252.48979591836735;131;97.63265306122449;55;108;245;124;260
B4;4;2;0;0;0;0;109;117.18348623853211;571.8899082568807;75;61.669724770642205;41;112;566;124;579
B4;4;2;0;0;0;0;183;118.46994535519126;274.62841530054646;138;105.01639344262296;60;113;266;126;285
B4;4;2;0;0;0;0;169;119.40236686390533;340.73372781065086;94;64.50887573964496;38;114;329;127;351
B4;4;2;0;0;0;0;155;125.96129032258065;110.67096774193548;105;81.16129032258064;47;121;102;132;120
B4;4;2;0;0;0;0;186;127.66129032258064;476.73118279569894;83;63.83870967741935;37;121;469;136;485
B4;4;2;0;0;0;0;133;127.37593984962406;15.052631578947368;73;58.02255639097744;41;123;7;133;26
B4;4;2;0;0;0;0;163;128.4723926380368;143.17177914110428;91;69.69938650306749;41;123;135;136;153
B4;4;2;0;0;0;0;191;130.0366492146597;447.2303664921466;127;95.49214659685863;54;122;439;138;455
B4;4;2;0;0;0;0;164;129.22560975609755;502.9634146341463;115;91.91463414634147;53;122;496;138;511
B4;4;2;0;0;0;0;221;131.47963800904978;542.8461538461538;86;69.5158371040724;46;123;535;140;552
B4;4;2;0;0;0;0;120;135.925;55.275;108;82.59166666666667;51;131;48;142;63
B4;4;2;0;0;0;0;128;138.3125;81.46875;112;86.6953125;54;133;74;145;90
B4;4;2;0;0;0;0;201;137.87064676616916;364.5223880597015;125;98.7363184079602;64;131;355;146;375
B4;4;2;0;0;0;0;72;141.86111111111111;169.65277777777777;98;76.94444444444444;41;137;165;148;174
B4;4;2;0;0;0;0;188;144.49468085106383;579.8510638297872;79;62.92553191489362;40;137;571;154;590
B4;4;2;0;0;0;0;165;149.53333333333333;257.6909090909091;134;103.53333333333333;59;143;249;156;267
B4;4;2;0;0;0;0;251;146.72908366533864;305.65338645418325;146;118.09561752988049;69;139;296;156;316
B4;4;2;0;0;0;0;136;151.53676470588235;93.94117647058823;96;76.19852941176471;47;147;86;158;103
