Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,229,0,0,0,-32137.6,6072.0,3772.9,37.109
0,230,0,0,0,-31820.8,6072.0,3773.3,37.124
0,231,0,0,0,-31504.0,6072.0,3773.5,37.134
0,232,0,0,0,-31187.2,6072.0,3773.9,37.144
0,233,0,0,0,-30870.4,6072.0,3774.2,37.154
0,234,0,0,0,-30553.6,6072.0,3774.6,37.165
0,235,0,0,0,-30236.8,6072.0,3774.9,37.175
0,236,0,0,0,-29920.0,6072.0,3775.2,37.185
0,237,0,0,0,-29603.2,6072.0,3775.6,37.198
0,238,0,0,0,-29286.4,6072.0,3775.9,37.208
0,239,0,0,0,-28969.6,6072.0,3776.2,37.218
0,240,0,0,0,-28652.8,6072.0,3776.5,37.228
0,241,0,0,0,-28019.2,6309.6,3777.4,43.271
0,242,0,0,0,-28336.0,6309.6,3777.2,43.281
0,243,0,0,0,-28652.8,6309.6,3776.8,43.291
0,244,0,0,0,-28969.6,6309.6,3776.4,43.301
0,245,0,0,0,-29286.4,6309.6,3776.1,43.374
0,246,0,0,0,-29603.2,6309.6,3775.8,43.384
0,247,0,0,0,-29920.0,6309.6,3775.5,43.394
0,248,0,0,0,-30236.8,6309.6,3775.1,43.404
0,249,0,0,0,-30553.6,6309.6,3774.8,43.414
0,250,0,0,0,-30870.4,6309.6,3774.5,43.424
0,251,0,0,0,-31187.2,6309.6,3774.1,43.434
0,252,0,0,0,-31504.0,6309.6,3773.8,43.444
0,253,0,0,0,-31820.8,6309.6,3773.4,43.454
0,254,0,0,0,-32137.6,6309.6,3773.1,43.493
0,255,0,0,0,-32454.4,6309.6,3772.7,43.503
0,256,0,0,0,-32771.2,6309.6,3772.3,43.513
0,257,0,0,0,-33088.0,6309.6,3772.0,43.523
0,258,0,0,0,-33404.8,6309.6,3771.6,43.533
0,259,0,0,0,-33721.6,6309.6,3771.2,43.543
0,260,0,0,0,-34038.4,6309.6,3770.8,43.553
0,261,0,0,0,-34355.2,6309.6,3770.4,43.563
0,262,0,0,0,-34672.0,6309.6,3770.0,43.573
0,263,0,0,0,-34988.8,6309.6,3769.6,43.590
0,264,0,0,0,-35305.6,6309.6,3769.2,43.600
0,265,0,0,0,-35622.4,6309.6,3768.8,43.616
0,266,0,0,0,-35939.2,6309.6,3768.4,43.631
0,267,0,0,0,-36256.0,6309.6,3768.0,43.641
0,268,0,0,0,-36572.8,6309.6,3767.6,43.651
0,269,0,0,0,-36889.6,6309.6,3767.1,43.661
0,270,0,0,0,-37206.4,6309.6,3766.7,43.671
