Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
76,0,0,0,1,40324.7,62472.3,739.1,181.661
77,0,0,0,0,49357.1,62483.4,732.8,183.727
77,0,0,0,1,49357.1,62483.4,732.8,184.076
78,0,0,0,0,58389.5,62494.4,726.6,186.098
78,0,0,0,1,58389.5,62494.4,726.6,186.447
79,0,0,0,0,67421.8,62505.4,720.3,188.441
79,0,0,0,1,67421.8,62505.4,720.3,188.788
80,0,0,0,0,76454.2,62516.5,709.2,190.781
80,0,0,0,1,76454.2,62516.5,709.2,191.131
81,0,0,0,0,85486.6,62527.5,697.5,193.162
81,0,0,0,1,85486.6,62527.5,697.5,193.517
82,0,0,0,0,94519.0,62538.5,683.6,195.563
82,0,0,0,1,94519.0,62538.5,683.6,195.940
83,0,0,0,0,103551.3,62549.6,661.4,198.011
83,0,0,0,1,103551.3,62549.6,661.4,198.362
84,0,0,0,0,103540.3,71560.7,648.7,199.961
84,0,0,0,1,103540.3,71560.7,648.7,200.310
85,0,0,0,0,94508.0,71549.7,669.5,202.962
85,0,0,0,1,94508.0,71549.7,669.5,203.312
86,0,0,0,0,85475.6,71538.6,684.2,205.353
86,0,0,0,1,85475.6,71538.6,684.2,205.709
87,0,0,0,0,76443.2,71527.6,694.9,207.748
87,0,0,0,1,76443.2,71527.6,694.9,208.096
88,0,0,0,0,67410.8,71516.6,704.0,210.150
88,0,0,0,1,67410.8,71516.6,704.0,210.497
89,0,0,0,0,58378.5,71505.5,713.2,212.517
89,0,0,0,1,58378.5,71505.5,713.2,212.862
90,0,0,0,0,49346.1,71494.5,720.1,214.858
90,0,0,0,1,49346.1,71494.5,720.1,215.233
91,0,0,0,0,40313.7,71483.5,725.7,216.939
91,0,0,0,1,40313.7,71483.5,725.7,217.305
92,0,0,0,0,31281.3,71472.4,729.4,219.312
92,0,0,0,1,31281.3,71472.4,729.4,219.691
93,0,0,0,0,22249.0,71461.4,729.8,221.440
93,0,0,0,1,22249.0,71461.4,729.8,221.786
94,0,0,0,0,13216.6,71450.3,733.2,223.523
94,0,0,0,1,13216.6,71450.3,733.2,223.874
95,0,0,0,0,4184.2,71439.3,731.6,226.135
95,0,0,0,1,4184.2,71439.3,731.6,226.483
